Archivo,FC esperada (bpm),FC estimada (bpm)
raw_data_91_91.csv,91,90.72
raw_data_92_76.csv,76,82.48
raw_data_93_100.csv,100,90.28
raw_data_95_77_2.csv,2,82.99
raw_data_95_80.csv,80,75.54
raw_data_95_81_papa.csv,81,78.43
raw_data_95_99.csv,99,92.76
raw_data_96_69.csv,69,69.72
raw_data_96_81.csv,81,77.47
raw_data_97_95.csv,95,93.64
raw_data_98_81.csv,81,78.82
raw_data_98_86.csv,86,85.32
raw_data_99_73.csv,73,Error
raw_data_99_75.csv,75,73.08
raw_data_99_91.csv,91,76.84
