Tiempo (ms),IR,AMB_IR,RED,AMB_RED,IR_net,RED_net
8012,54025,11256,65521,11304,42769,54217
8029,53332,11162,65521,11179,42170,54342
8045,52791,11115,65521,11172,41676,54349
8062,52302,11057,65521,11068,41245,54453
8079,51891,10966,65521,11022,40925,54499
8096,51640,10854,65521,10874,40786,54647
8111,51451,10700,65521,10729,40751,54792
8128,51375,10614,65521,10627,40761,54894
8145,51443,10640,65521,10672,40803,54849
8161,51554,10658,65521,10723,40896,54798
8178,51664,10668,65521,10712,40996,54809
8195,51707,10569,65521,10607,41138,54914
8211,51737,10500,65521,10522,41237,54999
8228,51850,10481,65521,10508,41369,55013
8245,52040,10574,65521,10596,41466,54925
8261,52166,10609,65521,10675,41557,54846
8278,52268,10682,65521,10735,41586,54786
8295,52227,10620,65521,10666,41607,54855
8311,52099,10537,65521,10544,41562,54977
8328,52065,10469,65521,10494,41596,55027
8345,52146,10547,65521,10574,41599,54947
8361,52248,10571,65521,10644,41677,54877
8378,52331,10625,65521,10665,41706,54856
8395,52388,10575,65521,10623,41813,54898
8411,52405,10557,65521,10563,41848,54958
8428,52443,10499,65521,10535,41944,54986
8445,52555,10519,65521,10581,42036,54940
8461,52707,10590,65521,10643,42117,54878
8478,52815,10628,65521,10665,42187,54856
8495,52830,10583,65521,10594,42247,54927
8511,52789,10468,65521,10483,42321,55038
8528,52805,10417,65521,10448,42388,55073
8545,52908,10458,65521,10506,42450,55015
8561,53069,10551,65521,10613,42518,54908
8578,53159,10618,65521,10654,42541,54867
8595,53180,10589,65521,10609,42591,54912
8611,53129,10509,65521,10521,42620,55000
8628,53144,10474,65521,10494,42670,55027
8645,53243,10517,65521,10558,42726,54963
8661,53396,10618,65521,10674,42778,54847
8678,53450,10688,65521,10729,42762,54792
8695,53106,10602,65521,10615,42504,54906
8711,52431,10407,65521,10435,42024,55086
8728,51784,10269,65521,10291,41515,55230
8745,51221,10194,65521,10249,41027,55272
8761,50899,10148,65521,10207,40751,55314
8778,50703,10104,65521,10140,40599,55381
8795,50533,9988,65521,10008,40545,55513
8811,50437,9865,65521,9889,40572,55632
8828,50457,9801,65521,9832,40656,55689
8845,50586,9822,65521,9879,40764,55642
8861,50762,9890,65521,9941,40872,55580
8878,51044,10045,65521,10086,40999,55435
8895,51081,9926,65521,9954,41155,55567
8911,51092,9817,65521,9816,41275,55705
8928,51199,9803,65521,9847,41396,55674
8945,51325,9863,65521,9920,41462,55601
8961,51415,9910,65521,9960,41505,55561
8978,51456,9947,65521,9987,41509,55534
8995,51393,9904,65521,9915,41489,55606
9011,51325,9826,65521,9829,41499,55692
9028,51304,9770,65521,9803,41534,55718
9045,51410,9821,65521,9875,41589,55646
9062,51566,9906,65521,9962,41660,55559
9078,51660,9957,65521,9995,41703,55526
9095,51712,9937,65521,9957,41775,55564
9112,51704,9871,65521,9913,41833,55608
9127,51766,9826,65521,9875,41940,55646
9144,51948,9919,65521,9938,42029,55583
9161,52081,9995,65521,10025,42086,55496
9177,52200,10041,65521,10046,42159,55475
9194,52213,9981,65521,10034,42232,55487
9211,52213,9906,65521,9948,42307,55573
9227,52243,9882,65521,9945,42361,55576
9244,52384,9970,65521,9987,42414,55534
9261,52487,10036,65521,10069,42451,55452
9277,52561,10061,65521,10072,42500,55449
9294,52550,10028,65521,10079,42522,55442
9311,52586,9994,65521,10036,42592,55485
9327,52589,9973,65521,10030,42616,55491
9344,52685,10022,65521,10043,42663,55478
9361,52742,10039,65521,10110,42703,55411
9377,52813,10088,65521,10106,42725,55415
9394,52794,10049,65521,10104,42745,55417
9411,52686,9994,65521,10007,42692,55514
9427,52273,9840,65521,9915,42433,55606
9444,51758,9790,65521,9805,41968,55716
9461,51171,9735,65521,9792,41436,55729
9477,50738,9695,65521,9715,41043,55806
9494,50364,9574,65521,9609,40790,55912
9511,50171,9485,65521,9497,40686,56024
9527,50113,9409,65521,9475,40704,56046
9544,50222,9450,65521,9478,40772,56043
9561,50378,9489,65521,9546,40889,55975
9577,50514,9522,65521,9532,40992,55989
