Tiempo (ms),IR,AMB_IR,RED,AMB_RED,IR_net,RED_net
5014,58640,530,55044,490,58110,54554
5031,58647,531,55074,487,58116,54587
5048,58658,528,55105,469,58130,54636
5063,58680,529,55144,491,58151,54653
5080,58696,539,55181,489,58157,54692
5097,58717,534,55199,479,58183,54720
5113,58727,534,55240,487,58193,54753
5130,58730,531,55262,491,58199,54771
5147,58711,526,55235,473,58185,54762
5163,58718,530,55250,492,58188,54758
5180,58722,535,55258,496,58187,54762
5197,58726,539,55272,482,58187,54790
5213,58742,531,55285,496,58211,54789
5230,58747,535,55310,495,58212,54815
5247,58752,531,55311,473,58221,54838
5263,58796,542,55361,501,58254,54860
5280,58810,541,55389,497,58269,54892
5297,58827,538,55392,485,58289,54907
5313,58832,537,55406,500,58295,54906
5330,58834,538,55389,497,58296,54892
5347,58829,532,55374,476,58297,54898
5363,58852,536,55381,501,58316,54880
5380,58855,550,55372,505,58305,54867
5397,58848,539,55336,489,58309,54847
5413,58870,540,55363,502,58330,54861
5430,58874,538,55378,496,58336,54882
5447,58888,539,55387,478,58349,54909
5463,58911,544,55417,508,58367,54909
5480,58931,550,55424,503,58381,54921
5497,58941,546,55426,490,58395,54936
5513,58946,545,55420,505,58401,54915
5530,58953,545,55419,503,58408,54916
5547,58956,539,55404,487,58417,54917
5563,58973,549,55389,508,58424,54881
5580,58958,555,55351,510,58403,54841
5597,58935,556,55310,499,58379,54811
5613,58909,551,55238,511,58358,54727
5630,58886,552,55193,514,58334,54679
5647,58853,552,55137,497,58301,54640
5663,58845,562,55069,519,58283,54550
5680,58831,569,55045,528,58262,54517
5697,58802,563,54998,503,58239,54495
5713,58789,564,54962,530,58225,54432
5730,58756,563,54933,527,58193,54406
5747,58724,561,54887,508,58163,54379
5763,58730,569,54904,529,58161,54375
5780,58740,579,54934,539,58161,54395
5797,58761,576,54970,519,58185,54451
5813,58808,578,55033,538,58230,54495
5830,58850,574,55100,539,58276,54561
5847,58879,574,55142,509,58305,54633
5863,58933,582,55205,545,58351,54660
5880,58962,590,55252,548,58372,54704
5897,58961,584,55238,526,58377,54712
5913,58956,586,55188,546,58370,54642
5930,58950,593,55189,548,58357,54641
5947,58959,586,55178,526,58373,54652
5963,58982,593,55202,555,58389,54647
5980,58992,606,55194,560,58386,54634
5997,59006,599,55215,541,58407,54674
6014,59056,602,55291,559,58454,54732
6030,59081,600,55333,559,58481,54774
6047,59121,603,55393,534,58518,54859
6064,59071,610,55221,567,58461,54654
6079,59103,615,55259,568,58488,54691
6096,59124,613,55311,553,58511,54758
