Tiempo (ms),IR,AMB_IR,RED,AMB_RED,IR_net,RED_net
12009,43003,11351,65521,11261,31652,54260
12026,43025,11346,65521,11261,31679,54260
12043,43052,11350,65521,11264,31702,54257
12059,43077,11356,65521,11262,31721,54259
12076,43094,11361,65521,11268,31733,54253
12093,43089,11354,65521,11263,31735,54258
12110,43091,11348,65521,11261,31743,54260
12126,43090,11354,65521,11265,31736,54256
12143,43106,11354,65521,11264,31752,54257
12160,43107,11368,65521,11277,31739,54244
12175,43103,11363,65521,11276,31740,54245
12192,43097,11354,65521,11271,31743,54250
12209,43100,11351,65521,11263,31749,54258
12225,43103,11361,65521,11269,31742,54252
12242,43111,11366,65521,11272,31745,54249
12259,43128,11366,65521,11280,31762,54241
12275,43151,11370,65521,11283,31781,54238
12292,43163,11367,65521,11286,31796,54235
12309,43163,11356,65521,11272,31807,54249
12325,43178,11371,65521,11279,31807,54242
12342,43193,11365,65521,11280,31828,54241
12359,43202,11367,65521,11281,31835,54240
12375,43210,11372,65521,11280,31838,54241
12392,43231,11365,65521,11278,31866,54243
12409,43236,11364,65521,11278,31872,54243
12425,43260,11363,65521,11281,31897,54240
12442,43261,11368,65521,11286,31893,54235
12459,43253,11368,65521,11288,31885,54233
12475,43209,11376,65521,11294,31833,54227
12492,43135,11360,65521,11281,31775,54240
12509,43032,11355,65521,11273,31677,54248
12525,42991,11354,65521,11268,31637,54253
12542,42969,11356,65521,11276,31613,54245
12559,42965,11361,65521,11275,31604,54246
12575,42976,11365,65521,11286,31611,54235
12592,42989,11361,65521,11275,31628,54246
12609,43005,11354,65521,11276,31651,54245
12625,43033,11358,65521,11267,31675,54254
12642,43058,11360,65521,11278,31698,54243
12659,43083,11370,65521,11281,31713,54240
12675,43091,11364,65521,11280,31727,54241
12692,43101,11358,65521,11270,31743,54251
12709,43113,11357,65521,11267,31756,54254
12725,43133,11358,65521,11271,31775,54250
12742,43143,11362,65521,11272,31781,54249
12759,43141,11362,65521,11280,31779,54241
12775,43160,11360,65521,11284,31800,54237
12792,43149,11364,65521,11283,31785,54238
12809,43159,11362,65521,11278,31797,54243
12825,43160,11364,65521,11271,31796,54250
12842,43168,11361,65521,11272,31807,54249
12859,43190,11364,65521,11284,31826,54237
12875,43203,11366,65521,11292,31837,54229
12892,43226,11365,65521,11278,31861,54243
