Tiempo (ms),IR,AMB_IR,RED,AMB_RED,IR_net,RED_net
5014,54577,18213,31459,18170,36364,13289
5031,53881,17530,30713,17543,36351,13170
5048,53312,16930,29964,16965,36382,12999
5063,52834,16412,29507,16436,36422,13071
5080,52360,15908,28902,15864,36452,13038
5097,51858,15411,28393,15378,36447,13015
5113,51327,14808,27810,14823,36519,12987
5130,51528,14766,28265,14758,36762,13507
5147,51651,14778,28554,14754,36873,13800
5163,51695,14765,28602,14754,36930,13848
5180,51847,14821,28902,14802,37026,14100
5197,52017,14854,29164,14850,37163,14314
5213,52064,14859,29266,14840,37205,14426
5230,52088,14846,29337,14827,37242,14510
5247,52118,14839,29363,14821,37279,14542
5263,52113,14810,29310,14806,37303,14504
5280,52110,14800,29212,14777,37310,14435
5297,52107,14784,29171,14772,37323,14399
5313,52115,14774,29169,14760,37341,14409
5330,52150,14773,29207,14759,37377,14448
5347,52188,14795,29256,14766,37393,14490
5363,52191,14812,29250,14804,37379,14446
5380,52090,14831,29105,14816,37259,14289
5397,51855,14823,28833,14825,37032,14008
5413,51667,14819,28622,14801,36848,13821
5430,51522,14810,28460,14794,36712,13666
5447,51439,14826,28386,14798,36613,13588
5463,51451,14833,28411,14816,36618,13595
5480,51499,14845,28481,14835,36654,13646
5497,51576,14848,28558,14836,36728,13722
5513,51619,14841,28660,14829,36778,13831
5530,51686,14841,28770,14831,36845,13939
5547,51784,14856,28877,14826,36928,14051
5563,51891,14872,29021,14853,37019,14168
5580,51985,14889,29132,14866,37096,14266
5597,52065,14887,29226,14882,37178,14344
5613,52113,14891,29301,14874,37222,14427
5630,52138,14883,29357,14880,37255,14477
5647,52190,14901,29413,14880,37289,14533
5663,52241,14920,29473,14907,37321,14566
5680,52289,14937,29530,14929,37352,14601
5697,52336,14942,29583,14932,37394,14651
5713,52369,14951,29633,14937,37418,14696
5730,52407,14958,29693,14950,37449,14743
5747,52465,14972,29766,14955,37493,14811
5763,52527,14988,29831,14976,37539,14855
5780,52589,15008,29914,14990,37581,14924
5797,52639,15016,29979,15003,37623,14976
5813,52660,15006,30027,14991,37654,15036
5830,52691,14998,30063,14986,37693,15077
5847,52740,15005,30125,14993,37735,15132
5863,52781,15015,30176,15000,37766,15176
5880,52833,15032,30235,15010,37801,15225
5897,52878,15038,30292,15017,37840,15275
5913,52891,15029,30338,15009,37862,15329
5930,52922,15028,30370,15007,37894,15363
5947,52955,15023,30408,15008,37932,15400
5963,53004,15033,30466,15019,37971,15447
5980,53041,15049,30508,15022,37992,15486
5997,53073,15049,30559,15032,38024,15527
6014,53094,15037,30582,15028,38057,15554
6030,53113,15034,30642,15022,38079,15620
6047,53152,15042,30684,15026,38110,15658
6064,53190,15053,30729,15041,38137,15688
6079,53226,15056,30770,15043,38170,15727
6096,53225,15055,30778,15042,38170,15736
6113,53167,15039,30692,15023,38128,15669
6129,53031,15021,30520,15001,38010,15519
6146,52857,15008,30268,14984,37849,15284
6163,52615,14999,29999,14982,37616,15017
6179,52463,14985,29812,14973,37478,14839
6196,52370,14971,29691,14959,37399,14732
6213,52340,14957,29649,14943,37383,14706
6229,52355,14954,29679,14933,37401,14746
6246,52418,14956,29760,14937,37462,14823
6263,52492,14967,29858,14950,37525,14908
6279,52575,14974,29963,14957,37601,15006
6296,52646,14970,30068,14963,37676,15105
6313,52717,14970,30144,14955,37747,15189
6329,52762,14969,30207,14953,37793,15254
6346,52809,14974,30273,14956,37835,15317
6363,52848,14989,30331,14970,37859,15361
6379,52888,14994,30365,14972,37894,15393
6396,52900,14988,30393,14980,37912,15413
6413,52915,14979,30405,14965,37936,15440
6429,52924,14970,30417,14956,37954,15461
6446,52944,14979,30448,14961,37965,15487
6463,52984,14994,30510,14970,37990,15540
6479,53006,14995,30537,14977,38011,15560
6496,53023,14996,30568,14982,38027,15586
6513,53062,14990,30599,14975,38072,15624
6529,53071,14981,30629,14964,38090,15665
6546,53104,14984,30655,14967,38120,15688
6563,53162,15004,30731,14989,38158,15742
6579,53190,15005,30781,14993,38185,15788
6596,53224,15008,30822,14995,38216,15827
6613,53253,15006,30843,14987,38247,15856
6629,53266,15000,30875,14983,38266,15892
6646,53295,15004,30905,14982,38291,15923
6663,53328,15015,30944,14995,38313,15949
6679,53367,15021,30986,15003,38346,15983
6696,53386,15018,31022,15006,38368,16016
6713,53416,15013,31033,15001,38403,16032
6729,53432,15005,31076,14989,38427,16087
6746,53453,15015,31099,14995,38438,16104
6763,53493,15019,31154,15007,38474,16147
6779,53530,15036,31197,15018,38494,16179
6796,53539,15035,31230,15018,38504,16212
6813,53558,15021,31225,15005,38537,16220
6829,53558,15018,31225,14997,38540,16228
6846,53513,15010,31160,14986,38503,16174
6863,53389,14994,31006,14986,38395,16020
6879,53225,14988,30770,14969,38237,15801
6896,52999,14972,30481,14954,38027,15527
6913,52807,14947,30272,14933,37860,15339
6929,52696,14939,30134,14917,37757,15217
6946,52671,14926,30084,14905,37745,15179
6963,52687,14936,30129,14919,37751,15210
6979,52748,14939,30179,14918,37809,15261
6996,52804,14938,30256,14925,37866,15331
7013,52862,14935,30337,14918,37927,15419
7029,52917,14925,30408,14912,37992,15496
7046,52983,14933,30489,14917,38050,15572
7063,53048,14942,30570,14929,38106,15641
7080,53094,14952,30626,14941,38142,15685
7095,53124,14954,30663,14938,38170,15725
7112,53135,14945,30682,14933,38190,15749
7129,53150,14942,30695,14921,38208,15774
7145,53170,14940,30728,14926,38230,15802
7162,53188,14947,30742,14927,38241,15815
7179,53199,14959,30762,14931,38240,15831
7195,53220,14948,30784,14926,38272,15858
7212,53228,14933,30803,14926,38295,15877
7229,53245,14930,30820,14920,38315,15900
7245,53273,14938,30854,14926,38335,15928
7262,53303,14949,30894,14932,38354,15962
7279,53360,14958,30941,14940,38402,16001
7295,53366,14962,30981,14938,38404,16043
7312,53388,14948,31003,14936,38440,16067
7329,53410,14939,31017,14933,38471,16084
7345,53438,14949,31054,14939,38489,16115
7362,53476,14964,31109,14950,38512,16159
7379,53512,14969,31141,14951,38543,16190
7395,53538,14974,31195,14948,38564,16247
7412,53554,14963,31195,14954,38591,16241
7429,53569,14959,31223,14945,38610,16278
7445,53596,14959,31257,14950,38637,16307
7462,53628,14975,31291,14956,38653,16335
7479,53659,14984,31339,14970,38675,16369
7495,53682,14987,31372,14959,38695,16413
7512,53701,14974,31378,14961,38727,16417
7529,53707,14967,31398,14956,38740,16442
7545,53726,14970,31415,14957,38756,16458
7562,53751,14982,31440,14961,38769,16479
7579,53702,14978,31368,14962,38724,16406
7595,53569,14958,31176,14939,38611,16237
7612,53360,14934,30898,14913,38426,15985
7629,53084,14905,30579,14886,38179,15693
7645,52883,14883,30287,14871,38000,15416
7662,52754,14884,30140,14862,37870,15278
7679,52673,14869,30067,14861,37804,15206
7695,52670,14878,30068,14847,37792,15221
7712,52690,14861,30094,14846,37829,15248
7729,52729,14857,30128,14843,37872,15285
7745,52782,14857,30196,14849,37925,15347
7762,52850,14870,30279,14848,37980,15431
7779,52918,14871,30364,14860,38047,15504
7795,52982,14877,30452,14854,38105,15598
7812,53015,14867,30498,14852,38148,15646
7829,53053,14865,30542,14846,38188,15696
7845,53079,14857,30563,14850,38222,15713
7862,53102,14867,30597,14846,38235,15751
7879,53121,14871,30620,14855,38250,15765
7895,53129,14877,30637,14857,38252,15780
7912,53134,14860,30635,14848,38274,15787
7929,53145,14857,30642,14837,38288,15805
7945,53167,14859,30664,14846,38308,15818
7962,53195,14870,30695,14852,38325,15843
7979,53227,14879,30734,14862,38348,15872
7995,53250,14878,30750,14859,38372,15891
8012,53258,14869,30752,14851,38389,15901
8029,53289,14871,30773,14860,38418,15913
8045,53312,14867,30799,14860,38445,15939
8062,53349,14877,30854,14860,38472,15994
8079,53391,14884,30911,14868,38507,16043
8096,53415,14892,30943,14867,38523,16076
8111,53430,14883,30953,14864,38547,16089
