Tiempo (ms),IR,AMB_IR,RED,AMB_RED,IR_net,RED_net
2000,35680,2400,7433,2372,33280,5061
2015,35530,2375,7270,2356,33155,4914
2032,35459,2367,7177,2348,33092,4829
2049,35441,2356,7177,2332,33085,4845
2065,35470,2348,7226,2333,33122,4893
2082,35525,2359,7313,2343,33166,4970
2099,35574,2361,7383,2341,33213,5042
2115,35640,2357,7464,2333,33283,5131
2132,35707,2359,7576,2339,33348,5237
2149,35774,2358,7667,2334,33416,5333
2165,35828,2358,7730,2339,33470,5391
2182,35870,2370,7782,2348,33500,5434
2199,35887,2365,7815,2346,33522,5469
2215,35893,2367,7828,2339,33526,5489
2232,35895,2376,7840,2350,33519,5490
2249,35925,2390,7873,2370,33535,5503
2265,35967,2417,7925,2395,33550,5530
2282,36012,2432,7971,2412,33580,5559
2299,36039,2430,8012,2408,33609,5604
2315,36068,2426,8058,2396,33642,5662
2332,36109,2423,8119,2395,33686,5724
2349,36163,2429,8177,2405,33734,5772
2365,36225,2439,8252,2422,33786,5830
2382,36285,2449,8340,2432,33836,5908
2399,36338,2443,8387,2423,33895,5964
2415,36362,2433,8432,2407,33929,6025
2432,36389,2416,8479,2399,33973,6080
2449,36426,2420,8519,2393,34006,6126
2465,36468,2420,8578,2401,34048,6177
2482,36520,2435,8639,2410,34085,6229
2499,36559,2433,8669,2416,34126,6253
2515,36577,2437,8697,2407,34140,6290
2532,36607,2432,8743,2416,34175,6327
2549,36644,2435,8790,2411,34209,6379
2565,36680,2428,8839,2414,34252,6425
2582,36723,2439,8889,2410,34284,6479
2599,36760,2412,8928,2391,34348,6537
2615,36780,2391,8957,2366,34389,6591
2632,36809,2373,9015,2348,34436,6667
2649,36848,2368,9052,2341,34480,6711
2665,36842,2381,9044,2362,34461,6682
2682,36726,2407,8843,2386,34319,6457
2699,36427,2418,8454,2398,34009,6056
2715,36112,2415,8032,2392,33697,5640
2732,35847,2407,7654,2387,33440,5267
2749,35668,2409,7462,2387,33259,5075
2765,35608,2418,7384,2402,33190,4982
2782,35611,2440,7368,2414,33171,4954
2799,35624,2429,7395,2416,33195,4979
2815,35629,2412,7405,2391,33217,5014
2832,35640,2373,7432,2347,33267,5085
2849,35645,2340,7447,2315,33305,5132
2865,35683,2318,7486,2300,33365,5186
2882,35739,2319,7549,2293,33420,5256
2899,35772,2322,7591,2304,33450,5287
2915,35833,2359,7652,2331,33474,5321
2932,35881,2400,7709,2378,33481,5331
2949,35907,2426,7728,2402,33481,5326
2965,35923,2441,7740,2419,33482,5321
2982,35932,2441,7757,2416,33491,5341
2999,35904,2403,7731,2385,33501,5346
3016,35862,2343,7699,2326,33519,5373
3031,35841,2303,7682,2279,33538,5403
3048,35871,2295,7725,2267,33576,5458
3065,35931,2321,7796,2293,33610,5503
3081,36027,2359,7896,2343,33668,5553
3098,36125,2420,8028,2412,33705,5616
3115,36241,2491,8150,2481,33750,5669
3131,36369,2574,8263,2546,33795,5717
3148,36453,2622,8377,2605,33831,5772
