Tiempo (ms),IR,AMB_IR,RED,AMB_RED,IR_net,RED_net
12009,47841,65241,65521,65255,-17400,266
12026,47869,65237,65521,65265,-17368,256
12043,47868,65231,65521,65240,-17363,281
12059,47882,65214,65521,65242,-17332,279
12076,47885,65226,65521,65236,-17341,285
12093,47857,65169,65521,65197,-17312,324
12110,47788,65084,65521,65116,-17296,405
12126,47719,65023,65521,65044,-17304,477
12143,47677,64978,65521,64993,-17301,528
12160,47682,64959,65521,64991,-17277,530
12175,47735,65003,65521,65025,-17268,496
12192,47810,65071,65521,65092,-17261,429
12209,47862,65094,65521,65117,-17232,404
12225,47842,65065,65521,65082,-17223,439
12242,47805,64998,65521,65029,-17193,492
12259,47768,64958,65521,64973,-17190,548
12275,47800,64957,65521,64985,-17157,536
12292,47850,64985,65521,65006,-17135,515
12309,47880,64996,65521,65023,-17116,498
12325,47910,65011,65521,65030,-17101,491
12342,47913,65003,65521,65023,-17090,498
12359,47928,65002,65521,65020,-17074,501
12375,47959,65002,65521,65035,-17043,486
12392,47948,64981,65521,64997,-17033,524
12409,47941,64953,65521,64984,-17012,537
12425,47889,64891,65521,64916,-17002,605
12442,47806,64831,65521,64859,-17025,662
12459,47691,64789,65521,64819,-17098,702
12475,47613,64818,65521,64841,-17205,680
12492,47562,64860,65521,64882,-17298,639
12509,47532,64915,65521,64939,-17383,582
12525,47533,64958,65521,64968,-17425,553
12542,47565,64977,65521,65013,-17412,508
12559,47570,64958,65521,64985,-17388,536
12575,47573,64933,65521,64962,-17360,559
12592,47584,64919,65521,64933,-17335,588
12609,47611,64913,65521,64942,-17302,579
12625,47637,64918,65521,64932,-17281,589
12642,47660,64919,65521,64951,-17259,570
12659,47718,64959,65521,64971,-17241,550
12675,47781,64995,65521,65023,-17214,498
12692,47843,65040,65521,65059,-17197,462
12709,47843,65034,65521,65067,-17191,454
12725,47839,65033,65521,65057,-17194,464
12742,47827,65012,65521,65046,-17185,475
12759,47831,65005,65521,65030,-17174,491
12775,47894,65052,65521,65068,-17158,453
12792,47968,65113,65521,65126,-17145,395
12809,48030,65151,65521,65162,-17121,359
12825,48083,65173,65521,65200,-17090,321
12842,48074,65137,65521,65161,-17063,360
12859,48062,65114,65521,65132,-17052,389
12875,48138,65168,65521,65184,-17030,337
12892,48237,65238,65521,65267,-17001,254
12909,48305,65290,65521,65308,-16985,213
