Tiempo (ms),IR,AMB_IR,RED,AMB_RED,IR_net,RED_net
5014,54525,1090,59896,1058,53435,58838
5031,54528,1083,59914,1045,53445,58869
5048,54534,1084,59910,1050,53450,58860
5063,54496,1059,59877,1024,53437,58853
5080,54504,1086,59841,1049,53418,58792
5097,54430,1065,59765,1031,53365,58734
5113,54396,1082,59722,1055,53314,58667
5130,54355,1086,59676,1050,53269,58626
5147,54336,1078,59652,1046,53258,58606
5163,54340,1086,59626,1050,53254,58576
5180,54350,1089,59683,1053,53261,58630
5197,54379,1090,59691,1060,53289,58631
5213,54411,1092,59734,1061,53319,58673
5230,54434,1093,59770,1056,53341,58714
5247,54463,1083,59774,1051,53380,58723
5263,54480,1076,59809,1046,53404,58763
5280,54510,1087,59857,1050,53423,58807
5297,54546,1095,59894,1059,53451,58835
5313,54566,1095,59914,1060,53471,58854
5330,54570,1087,59949,1058,53483,58891
5347,54584,1069,59956,1040,53515,58916
5363,54612,1083,59974,1048,53529,58926
5380,54624,1087,60015,1049,53537,58966
5397,54646,1099,60031,1062,53547,58969
5413,54663,1096,60040,1059,53567,58981
5430,54651,1065,60034,1035,53586,58999
5447,54682,1095,60079,1061,53587,59018
5463,54685,1072,60104,1050,53613,59054
5480,54712,1097,60125,1059,53615,59066
5497,54725,1102,60125,1069,53623,59056
5513,54738,1107,60150,1066,53631,59084
5530,54735,1093,60148,1057,53642,59091
5547,54736,1092,60130,1062,53644,59068
5563,54708,1095,60107,1064,53613,59043
5580,54663,1104,60036,1065,53559,58971
5597,54606,1104,59976,1072,53502,58904
5613,54560,1095,59910,1064,53465,58846
5630,54532,1093,59872,1059,53439,58813
5647,54540,1102,59884,1069,53438,58815
5663,54542,1089,59906,1057,53453,58849
5680,54589,1112,59953,1068,53477,58885
5697,54597,1089,59960,1062,53508,58898
5713,54649,1118,60031,1079,53531,58952
5730,54662,1100,60054,1067,53562,58987
5747,54708,1108,60083,1080,53600,59003
5763,54721,1107,60116,1069,53614,59047
5780,54741,1104,60146,1069,53637,59077
5797,54743,1081,60171,1052,53662,59119
5813,54781,1109,60168,1068,53672,59100
5830,54798,1113,60215,1080,53685,59135
5847,54814,1114,60219,1076,53700,59143
5863,54824,1105,60212,1076,53719,59136
5880,54835,1109,60255,1074,53726,59181
5897,54862,1116,60286,1081,53746,59205
5913,54856,1096,60286,1071,53760,59215
5930,54870,1098,60298,1059,53772,59239
5947,54881,1089,60322,1068,53792,59254
5963,54909,1106,60349,1075,53803,59274
5980,54939,1120,60390,1085,53819,59305
5997,54960,1128,60405,1097,53832,59308
6013,54962,1129,60430,1089,53833,59341
6030,54951,1095,60392,1069,53856,59323
6047,54967,1133,60410,1097,53834,59313
6064,54915,1116,60316,1079,53799,59237
6079,54858,1113,60292,1088,53745,59204
6096,54838,1139,60224,1102,53699,59122
6113,54789,1120,60190,1090,53669,59100
6129,54787,1125,60188,1093,53662,59095
6146,54796,1132,60208,1099,53664,59109
6163,54820,1130,60247,1094,53690,59153
6179,54847,1139,60257,1100,53708,59157
6196,54886,1142,60302,1101,53744,59201
6213,54891,1127,60323,1084,53764,59239
6229,54925,1124,60356,1082,53801,59274
6246,54941,1110,60386,1082,53831,59304
6263,54977,1115,60428,1089,53862,59339
6279,55006,1133,60444,1094,53873,59350
6296,55039,1149,60527,1111,53890,59416
6313,55063,1140,60551,1108,53923,59443
