Tiempo (ms),IR,AMB_IR,RED,AMB_RED,IR_net,RED_net
2000,58577,900,61249,857,57677,60392
2015,58592,881,61261,845,57711,60416
2032,58636,886,61342,848,57750,60494
2049,58697,905,61389,854,57792,60535
2065,58736,908,61439,872,57828,60567
2082,58760,904,61478,861,57856,60617
2099,58770,885,61508,856,57885,60652
2115,58788,880,61520,842,57908,60678
2132,58814,885,61544,839,57929,60705
2149,58837,898,61581,855,57939,60726
2165,58856,902,61570,864,57954,60706
2182,58846,902,61598,864,57944,60734
2199,58841,887,61563,850,57954,60713
2215,58823,875,61545,834,57948,60711
2232,58832,881,61549,840,57951,60709
2249,58860,895,61584,852,57965,60732
2265,58879,898,61613,860,57981,60753
2282,58889,900,61625,868,57989,60757
2299,58907,886,61617,852,58021,60765
2315,58892,879,61635,842,58013,60793
2332,58918,881,61630,843,58037,60787
2349,58941,900,61682,853,58041,60829
2365,58970,909,61713,864,58061,60849
2382,58980,905,61712,865,58075,60847
2399,58989,891,61720,851,58098,60869
2415,58979,878,61697,842,58101,60855
2432,58997,879,61728,843,58118,60885
2449,59018,900,61748,855,58118,60893
2465,59034,904,61792,867,58130,60925
2482,59040,899,61790,865,58141,60925
2499,59034,885,61782,850,58149,60932
2515,59035,886,61780,837,58149,60943
2532,59050,881,61785,836,58169,60949
2549,59070,903,61816,854,58167,60962
2565,59091,901,61828,859,58190,60969
2582,59086,901,61838,864,58185,60974
2599,59103,883,61826,846,58220,60980
2615,59094,876,61814,834,58218,60980
2632,59106,880,61843,832,58226,61011
2649,59112,899,61847,843,58213,61004
2665,59104,906,61818,864,58198,60954
2682,59063,901,61750,865,58162,60885
2699,58968,880,61626,846,58088,60780
2715,58839,871,61470,835,57968,60635
2732,58762,881,61334,837,57881,60497
2749,58726,894,61299,850,57832,60449
2765,58745,899,61307,862,57846,60445
2782,58773,896,61359,856,57877,60503
2799,58807,877,61389,847,57930,60542
2815,58823,868,61420,828,57955,60592
2832,58865,874,61460,831,57991,60629
2849,58893,895,61515,844,57998,60671
2865,58936,893,61549,859,58043,60690
2882,58950,898,61581,859,58052,60722
2899,58970,880,61577,846,58090,60731
2915,58964,872,61593,835,58092,60758
2932,58985,875,61595,828,58110,60767
2949,58991,897,61621,845,58094,60776
2966,59015,898,61639,859,58117,60780
2982,59004,892,61632,854,58112,60778
2999,58997,886,61613,838,58111,60775
3016,58991,869,61603,828,58122,60775
3031,59007,871,61615,837,58136,60778
3048,59034,893,61664,850,58141,60814
3065,59065,897,61687,855,58168,60832
3081,59073,894,61709,853,58179,60856
3098,59072,875,61702,842,58197,60860
3115,59084,869,61716,827,58215,60889
3131,59110,871,61732,838,58239,60894
3148,59132,895,61759,845,58237,60914
3165,59151,894,61783,857,58257,60926
3181,59157,886,61782,849,58271,60933
3198,59151,876,61795,841,58275,60954
3215,59152,869,61794,823,58283,60971
3231,59170,873,61808,838,58297,60970
3248,59202,891,61838,847,58311,60991
3265,59215,895,61841,863,58320,60978
3281,59214,890,61843,850,58324,60993
3298,59206,878,61831,839,58328,60992
3315,59212,870,61839,828,58342,61011
3331,59230,875,61869,836,58355,61033
3348,59252,887,61882,849,58365,61033
3365,59271,899,61915,855,58372,61060
3381,59276,897,61910,851,58379,61059
3398,59266,881,61895,837,58385,61058
3415,59263,870,61891,831,58393,61060
