Tiempo (ms);IR;AMB_IR;RED;AMB_RED
0;0;0;11658;0
16;37056;13895;12917;13937
33;37021;13830;12872;13803
50;37140;13913;12981;13905
66;37120;13852;12970;13848
83;37086;13789;13052;13793
100;37125;13793;13072;13769
116;36858;13508;12855;13546
133;36760;13341;12776;13311
150;36818;13338;12809;13340
167;36743;13231;12758;13221
183;36685;13138;12816;13140
200;36711;13126;12807;13108
217;36435;12847;12580;12888
233;36330;12690;12485;12678
250;36402;12734;12520;12731
267;36350;12657;12472;12648
283;36313;12610;12539;12617
300;36365;12626;12545;12605
317;36132;12372;12379;12415
333;36092;12281;12359;12260
350;36231;12369;12476;12366
367;36251;12342;12514;12331
383;36287;12338;12669;12350
400;36373;12398;12712;12380
417;36120;12168;12467;12215
433;35918;12067;12204;12049
450;35782;12134;11826;12126
467;35467;12052;11365;12038
483;35190;11999;11079;12024
500;35088;12031;10814;12075
517;34754;11783;10469;11831
533;34624;11688;10348;11685
550;34699;11778;10342;11772
567;34643;11730;10306;11720
583;34658;11712;10426;11744
600;34758;11775;10512;11803
617;34680;11548;10409;11598
633;34600;11488;10458;11485
650;34750;11622;10572;11596
667;34742;11576;10585;11573
683;34748;11588;10691;11628
700;34818;11659;10667;11687
717;34665;11434;10474;11483
733;34521;11366;10426;11370
750;34630;11463;10456;11447
767;34582;11407;10432;11404
783;34583;11372;10542;11425
800;34638;11397;10537;11433
817;34500;11146;10375;11205
833;34376;11059;10398;11080
850;34497;11149;10463;11142
867;34507;11119;10500;11110
883;34552;11120;10671;11186
900;34657;11196;10730;11230
917;34599;10996;10612;11052
933;34515;10979;10710;11004
950;34689;11123;10794;11125
967;34732;11141;10850;11140
983;34807;11195;11054;11273
999;34932;11324;10997;11275
1016;34796;11145;11006;11111
1033;34963;11281;11118;11187
1049;35039;11322;11225;11313
1066;35110;11356;11339;11363
1083;35363;11561;11604;11503
1099;35400;11569;11600;11526
1116;35288;11411;11655;11368
1133;35486;11574;11802;11479
1149;35534;11638;11833;11624
1166;35492;11695;11717;11695
1183;35525;11906;11604;11848
1199;35274;11919;11141;11864
1216;34920;11761;10774;11825
1233;34953;11931;10672;11845
1249;34925;11996;10611;11985
1266;34960;12070;10632;12072
1283;35197;12321;10861;12260
1299;35228;12362;10814;12309
1316;35137;12239;10891;12302
1333;35260;12430;11126;12354
1349;35536;12528;11298;12518
1366;35679;12610;11499;12612
1383;35862;12867;11817;12810
1399;36023;12908;11800;12841
1416;35909;12782;11815;12849
1433;35989;12971;11956;12903
1449;36185;13058;12028;13047
1466;36262;13131;12105;13139
1483;36402;13381;12356;13322
1499;36538;13387;12319;13318
1516;36386;13225;12317;13284
1533;36476;13390;12497;13317
1549;36707;13470;12621;13457
1566;36884;13592;12841;13607
1583;37168;13938;13228;13900
1599;37399;14056;13316;13976
1616;37302;13910;13388;13972
1633;37277;13982;13467;13904
1649;37339;13858;13404;13855
1666;37603;14094;13710;14112
1683;37810;14371;14005;14327
1699;37850;14310;13886;14231
1716;37614;14067;13791;14109
1733;37580;14125;13849;14055
1749;37620;14007;13772;14006
1766;37543;13902;13693;13896
1783;37507;13963;13787;13896
1799;37435;13741;13565;13672
1816;37101;13378;13382;13414
1833;36984;13340;13387;13265
1849;36995;13174;13289;13175
1866;36902;13045;13174;13045
1883;36827;13133;13185;13074
1899;36675;12981;12808;12899
1916;36211;12680;12308;12725
1933;35919;12719;11994;12666
