Tiempo (ms);IR;AMB_IR;RED;AMB_RED
0;0;0;31701;0
16;48558;1439;33306;1404
33;48562;1450;33311;1411
50;48569;1459;33330;1422
66;48579;1465;33337;1435
83;48612;1485;33382;1454
100;48646;1509;33427;1478
116;48689;1530;33475;1499
133;48705;1541;33499;1505
150;48721;1536;33510;1503
166;48716;1532;33483;1505
183;48692;1538;33458;1510
200;48651;1549;33411;1523
216;48626;1563;33382;1524
233;48547;1552;33294;1518
250;48483;1533;33209;1506
267;48446;1511;33156;1480
283;48431;1500;33137;1468
300;48419;1495;33124;1470
317;48440;1500;33124;1467
333;48465;1493;33142;1458
350;48483;1486;33181;1449
367;48503;1474;33174;1445
383;48526;1474;33174;1443
400;48546;1481;33178;1449
417;48549;1478;33157;1450
433;48535;1478;33116;1433
450;48520;1458;33084;1429
467;48514;1446;33052;1415
483;48521;1442;33062;1412
500;48514;1448;33035;1417
517;48527;1457;33043;1422
533;48527;1447;33042;1412
550;48527;1437;33055;1407
567;48531;1425;33053;1395
583;48528;1425;33058;1392
600;48560;1435;33064;1399
617;48573;1437;33084;1410
633;48585;1439;33090;1401
650;48577;1428;33097;1401
667;48590;1427;33129;1398
683;48618;1428;33153;1400
700;48649;1444;33191;1410
717;48680;1453;33228;1415
733;48690;1458;33241;1421
750;48678;1450;33255;1421
767;48654;1449;33227;1418
783;48635;1458;33219;1431
800;48627;1478;33216;1447
817;48628;1497;33229;1468
833;48598;1489;33194;1452
850;48551;1471;33142;1438
867;48556;1454;33125;1425
883;48565;1452;33145;1422
900;48578;1448;33153;1420
917;48596;1459;33183;1423
933;48612;1456;33188;1415
950;48596;1425;33190;1393
967;48593;1402;33183;1371
983;48580;1379;33182;1356
999;48593;1386;33204;1355
1016;48611;1379;33222;1354
1033;48597;1362;33226;1328
1049;48582;1338;33202;1302
1066;48547;1307;33177;1274
1083;48545;1309;33163;1272
1099;48517;1310;33131;1284
1116;48533;1328;33132;1301
1133;48519;1318;33124;1288
1149;48512;1308;33115;1270
1166;48501;1284;33121;1256
1183;48521;1292;33150;1257
1199;48536;1300;33167;1273
1216;48564;1323;33191;1286
1233;48554;1315;33189;1287
1249;48555;1308;33182;1271
1266;48547;1288;33191;1258
1283;48566;1295;33209;1260
1299;48564;1296;33207;1271
1316;48551;1312;33160;1274
1333;48488;1286;33097;1260
1349;48428;1270;33042;1230
1366;48355;1241;32973;1214
1383;48334;1237;32958;1212
1399;48345;1258;32960;1227
1416;48357;1290;32963;1248
1433;48329;1275;32915;1244
1449;48283;1263;32857;1223
1466;48255;1233;32848;1204
1483;48309;1232;32899;1198
1499;48380;1234;33005;1215
1516;48464;1261;33095;1220
1533;48498;1240;33125;1209
1549;48487;1224;33126;1184
1566;48461;1185;33126;1161
1583;48480;1197;33130;1162
1599;48514;1212;33154;1183
1616;48547;1246;33167;1206
1633;48565;1231;33175;1205
1649;48543;1216;33170;1175
1666;48524;1186;33168;1160
1683;48540;1190;33178;1153
1699;48572;1198;33216;1173
1716;48621;1232;33224;1186
1733;48623;1217;33227;1195
1749;48597;1206;33207;1161
