Tiempo (ms),IR,AMB_IR,RED,AMB_RED
0,0,0,16034,0
16,38873,10476,17244,10465
33,38919,10481,17303,10473
50,38864,10456,17212,10455
66,38655,10413,16863,10405
83,38291,10363,16363,10353
100,37954,10319,15803,10319
116,37678,10300,15394,10288
133,37431,10269,15075,10260
150,37260,10230,14831,10224
166,37138,10183,14680,10166
183,37070,10161,14603,10150
200,37028,10149,14560,10139
216,37009,10152,14539,10139
233,36995,10144,14522,10139
250,37026,10143,14590,10127
267,37084,10140,14699,10129
283,37157,10139,14805,10131
300,37214,10137,14904,10136
317,37244,10158,14960,10142
333,37259,10159,14957,10145
350,37255,10154,14964,10144
367,37257,10146,14968,10143
383,37288,10158,15000,10146
400,37324,10170,15076,10166
417,37380,10195,15144,10176
433,37432,10211,15233,10200
450,37483,10210,15315,10204
467,37517,10210,15373,10200
483,37569,10212,15444,10199
500,37623,10216,15540,10210
517,37699,10232,15648,10217
533,37746,10233,15728,10219
550,37790,10229,15818,10225
567,37843,10235,15885,10220
583,37873,10232,15931,10219
600,37922,10237,15998,10224
617,37991,10253,16092,10237
633,38063,10282,16197,10273
650,38116,10286,16291,10275
667,38158,10287,16333,10285
683,38173,10291,16366,10281
700,38214,10296,16429,10287
717,38282,10319,16534,10303
733,38354,10331,16624,10326
750,38403,10323,16723,10319
767,38465,10330,16802,10313
783,38513,10327,16884,10310
800,38574,10336,16983,10327
817,38626,10365,17046,10348
833,38586,10369,16968,10364
850,38345,10359,16541,10353
867,37953,10315,15994,10307
883,37630,10279,15514,10266
900,37384,10246,15090,10230
917,37193,10231,14861,10216
933,37095,10214,14720,10200
950,37035,10194,14641,10187
967,37011,10195,14616,10189
983,36990,10196,14596,10182
999,36995,10205,14601,10195
1016,37030,10213,14663,10206
1033,37098,10215,14776,10205
1049,37183,10219,14903,10208
1066,37252,10222,15029,10212
1083,37285,10222,15088,10214
1099,37307,10222,15116,10216
1116,37320,10228,15118,10227
1133,37327,10237,15128,10229
1149,37346,10240,15156,10227
1166,37368,10239,15210,10226
1183,37396,10242,15270,10237
1199,37447,10248,15346,10242
1216,37512,10265,15427,10247
1233,37558,10267,15515,10260
1249,37615,10269,15599,10251
1266,37660,10272,15688,10263
1283,37718,10265,15769,10260
1299,37786,10283,15874,10273
1316,37862,10302,15990,10296
1333,37922,10306,16078,10301
1349,37960,10306,16138,10298
1366,37997,10304,16206,10299
1383,38044,10305,16269,10298
1399,38090,10317,16336,10311
1416,38147,10333,16409,10318
1433,38207,10336,16493,10329
1449,38241,10340,16557,10331
1466,38268,10338,16610,10331
1483,38285,10330,16637,10324
1499,38319,10325,16687,10316
1516,38377,10340,16764,10323
1533,38443,10343,16859,10326
1549,38504,10341,16957,10330
1566,38553,10340,17055,10334
1583,38601,10342,17119,10332
1599,38619,10357,17144,10354
1616,38531,10365,16945,10351
1633,38225,10337,16516,10327
1649,37882,10293,15973,10288
1666,37564,10252,15462,10235
1683,37305,10212,15128,10200
1699,37174,10188,14940,10190
1716,37109,10200,14842,10184
1733,37076,10197,14815,10188
1749,37071,10190,14804,10178
1766,37066,10173,14827,10167
1783,37096,10169,14883,10166
1799,37167,10171,14986,10168
1816,37257,10198,15137,10187
1833,37323,10202,15237,10193
1849,37376,10202,15314,10189
1866,37398,10206,15367,10194
1883,37404,10200,15370,10198
1899,37407,10202,15363,10190
1916,37431,10214,15407,10204
1933,37459,10220,15450,10208
1950,37478,10217,15492,10198
1966,37519,10221,15545,10204
1983,37579,10229,15634,10219
2000,37649,10253,15746,10247
2015,37722,10279,15840,10270
2032,37780,10285,15939,10268
2049,37821,10278,16020,10264
2065,37881,10278,16096,10271
2082,37932,10281,16171,10276
2099,37994,10299,16258,10281
2115,38065,10317,16355,10311
2132,38119,10322,16447,10319
2149,38167,10315,16509,10310
2165,38211,10323,16574,10315
2182,38261,10332,16665,10319
2199,38319,10350,16747,10337
2215,38388,10366,16836,10353
2232,38435,10370,16918,10365
2249,38491,10378,16987,10370
2265,38530,10379,17051,10365
2282,38578,10389,17128,10379
2299,38638,10400,17218,10394
2315,38710,10425,17307,10409
2332,38774,10437,17408,10431
2349,38858,10444,17505,10433
2365,38920,10455,17612,10442
2382,38957,10458,17688,10451
2399,38881,10477,17555,10462
2415,38590,10454,17094,10444
2432,38205,10429,16418,10414
2449,37815,10385,15885,10379
2465,37551,10353,15492,10348
2482,37383,10328,15221,10324
2499,37282,10328,15102,10316
2515,37233,10316,15037,10311
2532,37204,10315,15005,10306
2549,37180,10299,14972,10285
2565,37177,10303,14976,10291
2582,37195,10295,15020,10288
2599,37265,10307,15121,10297
2615,37352,10324,15264,10317
2632,37422,10338,15390,10322
2649,37476,10327,15466,10314
2665,37501,10325,15499,10320
2682,37496,10323,15501,10311
2699,37495,10325,15500,10318
2715,37517,10329,15518,10323
2732,37532,10323,15555,10315
2749,37564,10313,15611,10310
2765,37602,10313,15665,10299
2782,37668,10326,15780,10315
2799,37747,10360,15890,10344
2815,37820,10373,15982,10367
2832,37869,10379,16080,10368
2849,37925,10375,16141,10365
2865,37974,10383,16241,10364
2882,38045,10379,16344,10370
2899,38117,10399,16459,10382
2915,38173,10401,16546,10392
2932,38215,10410,16608,10399
2949,38262,10404,16662,10399
2966,38301,10401,16734,10390
2982,38346,10397,16813,10388
2999,38413,10401,16912,10391
3016,38467,10413,17006,10407
3031,38500,10416,17042,10404
3048,38530,10413,17096,10406
3065,38588,10417,17147,10416
3081,38631,10436,17235,10421
3098,38696,10448,17326,10430
3115,38754,10452,17420,10443
3131,38821,10458,17513,10443
3148,38900,10458,17653,10445
3165,38960,10463,17736,10443
3181,38981,10461,17768,10446
3198,38939,10467,17654,10448
3215,38646,10438,17246,10432
3231,38269,10395,16658,10386
3248,37892,10348,16039,10334
3265,37570,10288,15593,10285
3281,37392,10263,15336,10258
3298,37302,10257,15201,10237
3315,37253,10238,15154,10236
3331,37226,10231,15130,10224
3348,37207,10216,15102,10213
3365,37186,10208,15083,10199
3381,37206,10209,15123,10198
3398,37267,10215,15233,10207
3415,37359,10219,15373,10217
3431,37426,10232,15486,10215
3448,37473,10216,15578,10210
3465,37487,10202,15603,10197
3481,37482,10191,15596,10195
3498,37487,10201,15598,10181
3515,37518,10201,15636,10190
3531,37556,10202,15697,10198
3548,37573,10199,15749,10189
3565,37598,10187,15794,10177
3581,37645,10190,15865,10180
3598,37711,10211,15975,10196
3615,37796,10217,16080,10217
3631,37858,10235,16184,10224
3648,37917,10242,16288,10231
3665,37978,10242,16359,10239
3681,38025,10247,16432,10242
3698,38091,10260,16537,10253
3715,38167,10275,16656,10268
3731,38230,10277,16758,10271
3748,38269,10274,16803,10271
3765,38315,10284,16864,10274
3781,38364,10288,16948,10288
3798,38457,10314,17082,10308
3815,38536,10337,17183,10332
3831,38587,10343,17259,10333
3848,38600,10340,17284,10329
3865,38640,10332,17343,10326
3881,38699,10345,17437,10329
3898,38765,10369,17535,10350
3915,38826,10372,17601,10366
3931,38882,10382,17712,10361
3948,38945,10383,17809,10372
3965,39016,10388,17894,10379
3982,39086,10406,18005,10388
3998,39161,10432,18088,10422
4015,39099,10442,17993,10426
4032,38819,10413,17496,10401
4047,38434,10363,16955,10352
4064,38088,10331,16379,10317
4081,37806,10309,16001,10293
4097,37676,10297,15793,10291
4114,37611,10297,15695,10278
4131,37576,10282,15668,10279
4147,37568,10283,15661,10273
4164,37586,10288,15702,10281
4181,37638,10318,15787,10300
4197,37713,10328,15892,10320
4214,37790,10349,16016,10336
4231,37870,10353,16127,10343
4247,37923,10359,16217,10341
4264,37965,10364,16293,10350
4281,37996,10381,16338,10357
4297,38030,10387,16369,10380
4314,38029,10394,16369,10385
4331,38040,10385,16375,10376
4347,38058,10385,16411,10368
4364,38101,10390,16493,10382
4381,38151,10408,16568,10389
4397,38222,10422,16662,10415
4414,38269,10428,16743,10418
4431,38327,10428,16803,10427
4447,38377,10432,16891,10421
4464,38446,10436,17023,10430
4481,38523,10451,17138,10436
4497,38601,10462,17234,10453
4514,38645,10475,17304,10465
4531,38686,10470,17352,10465
4547,38732,10472,17434,10464
4564,38790,10474,17546,10463
4581,38859,10491,17648,10477
4597,38923,10510,17727,10503
4614,38956,10511,17775,10502
4631,38990,10497,17804,10494
4647,39026,10510,17884,10494
4664,39086,10513,17974,10506
4681,39154,10540,18068,10522
4697,39213,10549,18153,10541
4714,39262,10551,18219,10539
4731,39315,10560,18293,10554
4747,39377,10568,18403,10558
4764,39443,10574,18496,10567
4781,39526,10592,18616,10578
4797,39601,10605,18727,10592
4814,39618,10610,18749,10599
4831,39463,10584,18504,10581
4847,39119,10545,17904,10535
4864,38729,10498,17311,10485
4881,38382,10458,16853,10453
4897,38191,10435,16524,10427
4914,38078,10417,16383,10408
4931,38029,10402,16328,10390
4947,38008,10384,16335,10369
4964,38021,10376,16364,10371
4981,38064,10373,16439,10368
4997,38145,10403,16573,10387
5014,38227,10408,16713,10400
5031,38323,10417,16829,10407
5048,38382,10424,16951,10415
5063,38420,10429,16995,10413
5080,38437,10445,17006,10430
5097,38434,10456,17000,10433
5113,38449,10456,17006,10449
5130,38460,10453,17041,10446
5147,38497,10458,17094,10450
5163,38518,10454,17133,10447
5180,38566,10462,17202,10453
5197,38617,10478,17275,10470
5213,38665,10483,17342,10474
5230,38716,10476,17449,10471
5247,38786,10485,17548,10473
5263,38843,10484,17635,10474
5280,38886,10488,17696,10473
5297,38935,10497,17765,10485
5313,39003,10506,17868,10494
5330,39065,10505,17983,10500
5347,39125,10498,18055,10489
5363,39175,10515,18129,10510
5380,39226,10522,18207,10507
5397,39287,10535,18288,10523
5413,39355,10547,18380,10533
5430,39409,10557,18489,10549
5447,39477,10559,18560,10552
5463,39529,10584,18648,10571
5480,39605,10621,18733,10612
5497,39685,10660,18833,10652
5513,39772,10705,18963,10692
5530,39865,10737,19094,10726
5547,39983,10768,19224,10761
5563,40083,10819,19385,10806
5580,40195,10867,19518,10856
5597,40270,10911,19606,10902
5613,40216,10932,19473,10924
5630,39950,10921,19010,10916
5647,39472,10902,18343,10893
5663,39107,10867,17700,10862
5680,38858,10862,17345,10847
5697,38684,10850,17127,10837
5713,38620,10846,17027,10829
5730,38581,10812,16988,10810
5747,38568,10802,16987,10788
5763,38570,10787,17007,10783
5780,38572,10774,17011,10759
5797,38608,10766,17089,10761
5813,38673,10765,17219,10753
5830,38730,10755,17330,10745
5847,38780,10750,17391,10739
5863,38792,10744,17418,10731
5880,38795,10737,17404,10724
5897,38784,10731,17412,10722
5913,38794,10722,17426,10715
5930,38797,10709,17441,10702
5947,38812,10703,17471,10688
5963,38836,10706,17509,10694
5980,38883,10717,17571,10700
5997,38939,10722,17648,10710
6014,38994,10726,17762,10712
6030,39057,10725,17861,10717
6047,39124,10737,17948,10721
6064,39185,10746,18045,10734
6079,39260,10768,18136,10761
6096,39319,10790,18226,10779
6113,39390,10800,18310,10795
6129,39452,10811,18408,10802
6146,39515,10818,18513,10812
6163,39587,10845,18616,10830
6179,39648,10861,18698,10848
6196,39701,10877,18786,10861
6213,39762,10881,18848,10878
6229,39827,10910,18939,10902
6246,39884,10927,19022,10923
6263,39952,10956,19108,10939
6279,40020,10981,19201,10967
6296,40073,10990,19289,10979
6313,40151,10999,19376,10992
6329,40216,11007,19484,10998
6346,40289,11013,19597,11004
6363,40361,11032,19701,11016
6379,40407,11033,19750,11026
6396,40356,11031,19659,11023
6413,40066,11000,19231,10984
6429,39645,10956,18507,10951
6446,39248,10915,17931,10909
6463,38941,10878,17519,10861
6479,38777,10849,17253,10840
6496,38696,10823,17157,10813
6513,38670,10812,17145,10811
6529,38669,10812,17168,10802
6546,38683,10806,17199,10794
6563,38726,10809,17246,10796
6579,38779,10818,17342,10805
6596,38837,10822,17453,10817
6613,38915,10819,17560,10817
6629,38969,10821,17662,10815
6646,38999,10826,17701,10818
6663,39000,10822,17718,10816
6679,39003,10829,17696,10829
6696,39010,10832,17701,10830
6713,39032,10839,17730,10825
6729,39034,10827,17779,10814
6746,39063,10818,17810,10809
6763,39114,10829,17885,10826
6779,39167,10850,17970,10840
6796,39223,10863,18044,10851
6813,39301,10875,18146,10862
6829,39356,10877,18258,10868
6846,39395,10868,18316,10849
6863,39442,10866,18390,10856
6879,39486,10875,18456,10864
6896,39528,10875,18525,10865
6913,39592,10872,18605,10865
6929,39642,10877,18703,10863
6946,39686,10880,18768,10868
6963,39732,10883,18824,10867
6979,39779,10890,18887,10881
6996,39809,10895,18944,10886
7013,39848,10891,18979,10878
7030,39882,10891,19061,10872
7046,39924,10889,19132,10883
7063,39981,10896,19201,10887
7080,40036,10911,19296,10906
7095,40095,10924,19355,10909
7112,40146,10917,19439,10911
7129,40221,10922,19549,10917
7145,40283,10939,19645,10922
7162,40327,10949,19698,10939
7179,40253,10954,19584,10947
7195,39983,10932,19160,10925
7212,39590,10890,18485,10879
7229,39196,10838,17958,10825
7245,38945,10790,17580,10787
7262,38815,10776,17388,10760
7279,38760,10771,17331,10756
7295,38745,10756,17321,10742
7312,38734,10731,17330,10721
7329,38759,10715,17376,10708
7345,38806,10705,17484,10687
7362,38883,10705,17621,10692
7379,38975,10718,17750,10707
7395,39018,10715,17831,10698
7412,39012,10690,17833,10677
7429,39001,10672,17809,10663
7445,38974,10652,17774,10647
7462,38977,10660,17789,10642
7479,38988,10660,17803,10654
7495,38985,10638,17818,10626
7512,38986,10617,17834,10613
7529,39004,10604,17862,10592
7545,39016,10582,17905,10571
7562,39046,10562,17960,10547
7579,39078,10545,18039,10536
7595,39107,10522,18087,10512
7612,39112,10493,18111,10483
7629,39127,10469,18137,10460
7645,39144,10444,18199,10438
7662,39194,10435,18276,10424
7679,39240,10433,18358,10424
7695,39273,10425,18420,10412
7712,39293,10415,18469,10402
7729,39327,10401,18503,10382
7745,39347,10389,18547,10380
7762,39389,10394,18605,10373
7779,39420,10386,18663,10384
7795,39445,10374,18708,10357
7812,39448,10338,18732,10333
7829,39470,10317,18771,10314
7845,39485,10292,18808,10286
7862,39506,10286,18836,10272
7879,39551,10280,18920,10265
7895,39602,10267,19020,10249
7912,39638,10253,19096,10241
7929,39641,10227,19080,10221
7945,39485,10206,18797,10210
7962,39158,10189,18252,10174
7979,38731,10153,17675,10139
7995,38400,10099,17117,10094
8012,38147,10056,16777,10039
8029,37986,10018,16566,10004
8046,37911,9983,16469,9981
8062,37892,9982,16454,9971
8079,37885,9975,16473,9967
8096,37899,9967,16497,9955
8111,37908,9963,16523,9952
8128,37941,9951,16589,9946
8145,38012,9957,16701,9947
8161,38077,9964,16794,9958
8178,38113,9967,16863,9962
8195,38123,9961,16885,9957
8211,38106,9958,16857,9940
8228,38085,9944,16827,9932
8245,38084,9943,16809,9931
8261,38106,9953,16854,9938
8278,38141,9962,16919,9951
8295,38178,9965,16963,9957
8311,38201,9958,17009,9944
8328,38239,9953,17066,9939
8345,38287,9959,17136,9949
8361,38349,9971,17241,9964
8378,38417,9993,17340,9981
8395,38477,9995,17417,9991
8411,38508,9999,17479,9983
8428,38549,9991,17543,9983
8445,38592,9988,17597,9982
8461,38637,10007,17675,9996
8478,38696,10022,17765,10006
8495,38745,10015,17827,10009
8511,38762,9999,17877,9990
8528,38782,9994,17911,9983
8545,38814,10000,17950,9992
8561,38864,10017,18017,10008
8578,38904,10022,18093,10013
8595,38948,10017,18147,10001
8611,38973,9999,18213,9991
8628,39001,9981,18254,9963
8645,39040,9965,18315,9955
8661,39095,9979,18399,9974
8678,39150,9998,18476,9990
8695,39170,10036,18486,10021
8711,39022,10039,18173,10033
8728,38692,10020,17640,10014
8745,38294,9986,17093,9982
8761,38028,9979,16628,9969
8778,37849,9951,16380,9942
8795,37722,9927,16237,9913
8811,37665,9898,16163,9901
8828,37618,9884,16109,9866
8845,37582,9847,16079,9847
8861,37594,9847,16106,9843
8878,37627,9842,16172,9847
8895,37692,9862,16275,9837
8911,37755,9857,16393,9850
8928,37803,9860,16456,9861
8945,37840,9876,16509,9866
8961,37874,9898,16541,9891
8978,37891,9913,16571,9901
8995,37903,9917,16583,9905
9011,37911,9916,16605,9907
9028,37916,9916,16600,9903
9045,37941,9910,16647,9899
9062,37983,9924,16718,9916
9078,38030,9927,16793,9916
9095,38073,9920,16856,9911
9112,38104,9911,16913,9903
9127,38134,9910,16960,9892
9144,38190,9909,17043,9901
9161,38251,9932,17134,9915
9177,38293,9923,17210,9914
9194,38323,9917,17264,9913
9211,38348,9908,17296,9898
9227,38372,9900,17354,9879
9244,38424,9901,17428,9882
9261,38482,9911,17502,9904
9277,38499,9903,17540,9904
9294,38510,9897,17567,9888
9311,38538,9891,17600,9877
9327,38569,9894,17657,9882
9344,38623,9908,17722,9891
9361,38688,9926,17814,9919
9377,38735,9933,17895,9925
9394,38774,9933,17958,9929
9411,38832,9945,18035,9931
9427,38895,9954,18137,9937
9444,38950,9978,18212,9956
9461,38947,9984,18196,9979
9477,38806,9988,17915,9979
9494,38501,9955,17422,9945
9511,38142,9925,16913,9912
9527,37880,9893,16477,9884
9544,37707,9879,16240,9865
9561,37599,9870,16108,9855
9577,37550,9848,16042,9841
9594,37509,9823,16002,9822
9611,37512,9818,16016,9801
9627,37529,9808,16077,9795
9644,37585,9813,16169,9793
9661,37665,9823,16275,9814
9677,37724,9824,16392,9820
9694,37752,9819,16439,9812
9711,37768,9817,16451,9801
9727,37760,9818,16445,9809
9744,37767,9815,16457,9804
9761,37780,9831,16479,9814
9777,37794,9835,16509,9822
9794,37810,9823,16525,9825
9811,37835,9833,16556,9823
9827,37866,9836,16620,9820
9844,37908,9852,16685,9839
9861,37967,9863,16759,9851
9877,38026,9878,16852,9864
