Tiempo (ms);IR;AMB_IR;RED;AMB_RED
0;0;0;28079;0
16;46038;11857;29800;11838
33;46188;11938;29966;11922
50;46308;12005;30112;11990
66;46407;12044;30269;12034
83;46504;12044;30428;12025
100;46592;12059;30589;12039
116;46687;12086;30742;12075
133;46786;12157;30870;12144
150;46886;12269;30985;12243
166;47009;12410;31091;12412
183;47118;12551;31177;12532
200;47192;12640;31249;12620
216;47343;12797;31406;12785
233;47490;12919;31550;12907
250;47572;12976;31679;12951
266;47633;13005;31759;12993
283;47751;13074;31864;13053
300;47783;13053;31944;13044
316;47851;13063;32069;13045
333;47935;13064;32199;13061
350;47959;13046;32250;13034
367;47958;13001;32264;12986
383;47979;12948;32316;12937
400;47995;12905;32386;12897
417;48034;12884;32434;12862
433;48068;12877;32455;12863
450;48069;12829;32493;12814
467;48059;12740;32527;12724
483;48041;12660;32550;12650
500;48041;12610;32585;12588
517;48063;12583;32623;12561
533;48109;12585;32671;12573
550;48159;12599;32731;12595
567;48221;12601;32816;12591
583;48218;12603;32814;12583
600;48014;12589;32459;12575
617;47629;12583;31935;12565
633;47360;12566;31527;12562
650;47163;12554;31207;12544
667;47009;12544;30995;12531
683;46925;12516;30893;12495
700;46892;12490;30878;12474
717;46918;12492;30928;12469
733;46951;12481;31005;12468
750;46978;12459;31067;12444
767;46983;12417;31101;12404
783;47000;12392;31136;12374
800;47037;12403;31186;12391
817;47116;12442;31273;12425
833;47189;12469;31374;12462
850;47219;12471;31424;12460
867;47222;12445;31427;12430
883;47200;12414;31393;12398
900;47188;12395;31392;12385
917;47204;12413;31416;12391
933;47210;12426;31409;12408
950;47184;12390;31381;12380
967;47134;12340;31335;12317
983;47112;12293;31330;12276
999;47127;12266;31384;12255
1016;47191;12296;31468;12286
1033;47254;12325;31546;12311
1049;47290;12315;31601;12305
1066;47317;12293;31641;12279
1083;47337;12271;31676;12255
1099;47387;12268;31738;12251
1116;47482;12303;31839;12287
1133;47551;12333;31947;12326
1149;47634;12364;32008;12352
1166;47663;12359;32050;12342
1183;47670;12307;32087;12295
1199;47689;12275;32137;12264
1216;47752;12296;32202;12277
1233;47814;12310;32297;12300
1249;47876;12336;32379;12318
1266;47944;12341;32497;12322
1283;48002;12322;32583;12311
1299;48017;12292;32638;12279
