Archivo,FC esperada (bpm),FC estimada (bpm)
raw_data_91_91.csv,91,89.81
raw_data_92_76.csv,76,89.63
raw_data_93_100.csv,100,100.0
raw_data_95_77_2.csv,2,84.62
raw_data_95_80.csv,80,71.88
raw_data_95_81_papa.csv,81,79.85
raw_data_95_99.csv,99,98.73
raw_data_96_106.csv,106,30.0
raw_data_96_69.csv,69,69.87
raw_data_97_119.csv,119,31.96
raw_data_97_95.csv,95,97.3
raw_data_98_81.csv,81,79.91
raw_data_98_86.csv,86,83.72
raw_data_98_91.csv,91,102.25
raw_data_99_75.csv,75,74.05
